# Created from original file "Bromus Lambdas and Climate Data.csv"
# Provided by Alden Griffith and Michael Loic
# Modified by NJG 17Jul2019
# --------------------------
# Notes from original file:
# Lambda values are calculated from April seedling density values (Lambda = Nt+1 / Nt)
# 'Starting Density' = Nt
# Seedling density (and thus lambda) values are averaged across microhabitats. (Not explicitly taking cover of microhabitat into account)
# All climate data are from periods between the two seedling density censuses in April
# 'Growing Season' = Apr 15 - Jun 30 (vegetative growth)
# 'Winter' = Dec 1 - Apr 14 (seedling germination and establishment)
# "DD was calculated by summing up only positive mean daily temps (i.e. base temp of 0 C). Also included is a version ('Winter DD no snowpack') that only included days when there was no snowpack, as soil temp (and seeds within) shouldn't be affected by air temp above a snowpack."
# All data are from NOHRSC station KMMH (https://www.nohrsc.noaa.gov/interactive/html/graph.html?units=0&region=us&station=KMMH&ey=2019&em=7&ed=4&eh=11)
# 4 NA values added by NJG
# --------------------------
Plot,Fence,Snow,MHabitat,Year,Ending Year,Lambda,Starting Density,Grow Season Precip Snow,Grow Season Precip Rain,Grow Season DD all days,Grow Season Precip Total,Snow Cover,Winter Precip Snow,Winter Precip Rain,Winter DD no snowpack,Winter DD all days,Winter Precip Total,Notes
2M,F2,Minus,Average,2006-2007,2007,0.217424545,1804.917855,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
2D,F2,Downwind,Average,2006-2007,2007,0.168045816,1484.207344,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
3U,F3,Upwind,Average,2006-2007,2007,0.294135078,1110.059979,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
3P,F3,Plus,Average,2006-2007,2007,0.12867218,1116.782519,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
3M,F3,Minus,Average,2006-2007,2007,0.088826126,1996.730918,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
3D,F3,Downwind,Average,2006-2007,2007,0.166513646,1719.325006,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
4U,F4,Upwind,Average,2006-2007,2007,0.361177728,1378.908388,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
4P,F4,Plus,Average,2006-2007,2007,0.164631172,848.2181532,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
4M,F4,Minus,Average,2006-2007,2007,0.170939408,1421.210891,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
4D,F4,Downwind,Average,2006-2007,2007,0.112852095,1447.976707,11.58,55.57,799.9440064,67.15,0.281481481,110.41,18.34,242.9795833,246.51625,128.75,
1U,F1,Upwind,Average,2007-2008,2008,1.911928866,85.7097333,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
1P,F1,Plus,Average,2007-2008,2008,0.678831451,205.9758018,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
1M,F1,Minus,Average,2007-2008,2008,1.513428745,151.4685257,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
1D,F1,Downwind,Average,2007-2008,2008,1.859651468,239.6964154,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
2U,F2,Upwind,Average,2007-2008,2008,2.684215425,199.2392492,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
2P,F2,Plus,Average,2007-2008,2008,1.004367063,373.7084706,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
2M,F2,Minus,Average,2007-2008,2008,1.427970736,392.4334428,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
2D,F2,Downwind,Average,2007-2008,2008,2.606560402,249.414835,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
3U,F3,Upwind,Average,2007-2008,2008,0.927244586,326.5075785,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
3P,F3,Plus,Average,2007-2008,2008,1.677782693,143.698841,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
3M,F3,Minus,Average,2007-2008,2008,3.858457518,177.3618729,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
3D,F3,Downwind,Average,2007-2008,2008,0.9795562,286.291075,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
4U,F4,Upwind,Average,2007-2008,2008,1.310749047,498.030999,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
4P,F4,Plus,Average,2007-2008,2008,1.118438545,139.6431486,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
4M,F4,Minus,Average,2007-2008,2008,1.544399926,242.940948,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
4D,F4,Downwind,Average,2007-2008,2008,1.746412025,163.4072055,28.47,18.09,882.0483333,46.56,0.762962963,346.54,59.42,84.44125,97.835,405.96,
1U,F1,Upwind,Average,2008-2009,2009,1.977330159,163.8709132,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
1P,F1,Plus,Average,2008-2009,2009,5.329752413,139.8228523,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
1M,F1,Minus,Average,2008-2009,2009,2.303308007,229.2368207,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
1D,F1,Downwind,Average,2008-2009,2009,1.553422844,445.7517909,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
2U,F2,Upwind,Average,2008-2009,2009,0.97803472,534.8010659,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
2P,F2,Plus,Average,2008-2009,2009,1.734317688,375.3404791,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
2M,F2,Minus,Average,2008-2009,2009,1.392732346,560.3834722,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
2D,F2,Downwind,Average,2008-2009,2009,0.923017433,650.1148324,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
3U,F3,Upwind,Average,2008-2009,2009,1.250462726,302.7523845,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
3P,F3,Plus,Average,2008-2009,2009,0.949150412,241.0954285,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
3M,F3,Minus,Average,2008-2009,2009,1.275747413,684.3432518,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
3D,F3,Downwind,Average,2008-2009,2009,2.507241248,280.4381975,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
4U,F4,Upwind,Average,2008-2009,2009,1.033240275,652.7936575,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
4P,F4,Plus,Average,2008-2009,2009,2.992541613,156.1822799,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
4M,F4,Minus,Average,2008-2009,2009,1.526547844,375.1979821,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
4D,F4,Downwind,Average,2008-2009,2009,0.855593965,285.3763086,18.59,32.43,746.8120833,51.02,0.555555556,252.45,69,145.77125,187.8645833,321.45,
1U,F1,Upwind,Average,2009-2010,2010,1.765731274,324.0268988,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
1P,F1,Plus,Average,2009-2010,2010,0.769815081,745.2211847,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
1M,F1,Minus,Average,2009-2010,2010,1.04787636,528.0030046,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
1D,F1,Downwind,Average,2009-2010,2010,1.384927623,692.4410146,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
2U,F2,Upwind,Average,2009-2010,2010,1.369621227,523.054011,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
2P,F2,Plus,Average,2009-2010,2010,1.921472871,650.9596317,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
2M,F2,Minus,Average,2009-2010,2010,1.08689656,780.4641881,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
2D,F2,Downwind,Average,2009-2010,2010,1.021261696,600.0673235,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
3U,F3,Upwind,Average,2009-2010,2010,1.729064882,378.5805719,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
3P,F3,Plus,Average,2009-2010,2010,1.34819469,228.8358253,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
3M,F3,Minus,Average,2009-2010,2010,1.188495852,873.0491334,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
3D,F3,Downwind,Average,2009-2010,2010,1.563599944,703.1262162,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
4U,F4,Upwind,Average,2009-2010,2010,1.728584583,674.4926983,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
4P,F4,Plus,Average,2009-2010,2010,1.804889722,467.3819719,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
4M,F4,Minus,Average,2009-2010,2010,1.226060295,572.7576706,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
4D,F4,Downwind,Average,2009-2010,2010,3.623316824,244.1662475,4.86,122.68,880.3141667,127.54,0.940740741,436.67,50.26,9.41625,50.84875,486.93,
1U,F1,Upwind,Average,2010-2011,2011,1.931271285,572.1444289,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
1P,F1,Plus,Average,2010-2011,2011,3.428144737,573.6825069,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
1M,F1,Minus,Average,2010-2011,2011,2.573867247,553.2818663,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
1D,F1,Downwind,Average,2010-2011,2011,2.678770197,958.9806888,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
2U,F2,Upwind,Average,2010-2011,2011,2.452452533,716.3858763,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
2P,F2,Plus,Average,2010-2011,2011,2.068303809,1250.801273,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
2M,F2,Minus,Average,2010-2011,2011,3.634602538,848.2838415,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
2D,F2,Downwind,Average,2010-2011,2011,2.745248949,612.8257723,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
3U,F3,Upwind,Average,2010-2011,2011,2.698888867,654.5903717,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
3P,F3,Plus,Average,2010-2011,2011,1.29413138,308.5152445,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
3M,F3,Minus,Average,2010-2011,2011,1.204328485,1037.615273,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
3D,F3,Downwind,Average,2010-2011,2011,1.586936952,1099.408112,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
4U,F4,Upwind,Average,2010-2011,2011,1.274721754,1165.91768,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
4P,F4,Plus,Average,2010-2011,2011,1.127128189,843.5729175,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
4M,F4,Minus,Average,2010-2011,2011,0.863745728,702.2354389,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
4D,F4,Downwind,Average,2010-2011,2011,0.957244341,884.6916723,22.42,27.81,726.2544582,50.23,0.82962963,500.34,96.94,87.865,153.8945833,597.28,
1U,F1,Upwind,Average,2011-2012,2012,0.073108408,1104.966107,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
1P,F1,Plus,Average,2011-2012,2012,0.269141781,1966.666667,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
1M,F1,Minus,Average,2011-2012,2012,0.173636384,1424.074074,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
1D,F1,Downwind,Average,2011-2012,2012,0.098203987,2568.888889,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
2U,F2,Upwind,Average,2011-2012,2012,0.080131873,1756.902357,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
2P,F2,Plus,Average,2011-2012,2012,0.069409876,2587.037037,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
2M,F2,Minus,Average,2011-2012,2012,0.075342594,3083.174603,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
2D,F2,Downwind,Average,2011-2012,2012,0.161538187,1682.359307,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
3U,F3,Upwind,Average,2011-2012,2012,0.044281946,1766.666667,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
3P,F3,Plus,Average,2011-2012,2012,0.458789331,399.2592593,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
3M,F3,Minus,Average,2011-2012,2012,0.05334914,1249.62963,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
3D,F3,Downwind,Average,2011-2012,2012,0.092915152,1744.691358,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
4U,F4,Upwind,Average,2011-2012,2012,0.083056399,1486.220629,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
4P,F4,Plus,Average,2011-2012,2012,0.188226194,950.8148148,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
4M,F4,Minus,Average,2011-2012,2012,0.226354612,606.5528601,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
4D,F4,Downwind,Average,2011-2012,2012,0.179018783,846.8660969,21.13,37.31,726.5075,58.44,0.259259259,142.67,51.21,209.1666667,226.8166667,193.88,
1U,F1,Upwind,Average,2012-2013,2013,1.58374686,80.78231293,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
1P,F1,Plus,Average,2012-2013,2013,1.542320882,529.3121693,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
1M,F1,Minus,Average,2012-2013,2013,2.14499588,247.2710731,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
1D,F1,Downwind,Average,2012-2013,2013,2.721118733,252.2751323,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
2U,F2,Upwind,Average,2012-2013,2013,5.240248538,140.7838768,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
2P,F2,Plus,Average,2012-2013,2013,5.499900125,179.5659203,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
2M,F2,Minus,Average,2012-2013,2013,4.283498864,232.2943723,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
2D,F2,Downwind,Average,2012-2013,2013,4.193215199,271.7652718,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
3U,F3,Upwind,Average,2012-2013,2013,4.232837786,78.23143718,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
3P,F3,Plus,Average,2012-2013,2013,1.680645863,183.1758884,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
3M,F3,Minus,Average,2012-2013,2013,4.920741914,66.66666667,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
3D,F3,Downwind,Average,2012-2013,2013,3.834976072,162.1082621,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
4U,F4,Upwind,Average,2012-2013,2013,6.878428003,123.440134,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
4P,F4,Plus,Average,2012-2013,2013,4.625788499,178.968254,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
4M,F4,Minus,Average,2012-2013,2013,2.238359038,137.2960373,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
4D,F4,Downwind,Average,2012-2013,2013,3.543033703,151.6049383,8.64,17.79,989.7583333,26.43,0.659259259,188.99,121.42,239.3,299.0833333,310.41,
